modeoflearning,edlevel,yearscode,yearscodepro,devtype,languagehaveworkedwith,databasehaveworkedwith,platformhaveworkedwith,webframehaveworkedwith,newcollabtoolshaveworkedwith,opsyspersonal_use,opsysprofessionaluse,workexpyears,industry
Inperson,Bachelors degree BA BS BEng etc,6,4,Developer backend,Java,MySQL,Amazon Web Services AWSGoogle CloudMicrosoft Azure,Unknown,IntelliJ IDEA,UbuntuWindows,MacOSOther LinuxbasedUbuntuWindows,4,Software Development
Unknown,Bachelors degree BA BS BEng etc,3,0,Developer fullstack,CHTMLCSSJavaJavaScriptPythonSQL,Microsoft SQL ServerMongoDBMySQL,Microsoft Azure,ASPNETASPNET COREExpressFastAPINodejsReactSpring BootWordPress,Android StudioIntelliJ IDEAJupyter NotebookJupyterLabVisual StudioVisual Studio Code,AndroidWindows,AndroidWindows,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,10,3,Developer mobile,CPythonSQLSwift,Microsoft SQL Server,Microsoft Azure,Unknown,Visual StudioVisual Studio CodeXcode,iOSMacOS,iOSMacOSWindows,-1,Unknown
Unknown,Secondary school eg American high school German Realschule or Gymnasium etc,5,-1,Student,BashShell all shellsCCHTMLCSSJavaScriptPython,MariaDBPostgreSQLRedis,Unknown,DjangoFlaskHtmx,CodeBlocksIPythonJupyter NotebookJupyterLabNanoPyCharmVimVSCodium,AndroidDebianUbuntu,DebianUbuntuWindows,-1,Unknown
Hybrid some remote some inperson,Some collegeuniversity study without earning a degree,6,0,Student,CHTMLCSSTypeScript,PostgreSQL,Unknown,ASPNETASPNET COREjQueryReact,Qt CreatorVisual StudioVisual Studio Code,Windows,Windows,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,13,4,Developer backend,CGoJavaJavaScript,Cosmos DBMongoDBMySQLSolrSQLite,Microsoft Azure,Nodejs,Visual StudioVisual Studio Code,MacOSWindowsWindows Subsystem for Linux WSL,MacOSWindows,-1,Unknown
Remote,Secondary school eg American high school German Realschule or Gymnasium etc,30,35,Developer fullstack,CJavaScriptSQLTypeScript,Microsoft SQL ServerSQLite,Amazon Web Services AWSMicrosoft Azure,AngularAngularJSASPNETASPNET COREjQueryNodejs,NotepadVisual StudioVisual Studio Code,Windows,Windows,-1,Unknown
Hybrid some remote some inperson,Secondary school eg American high school German Realschule or Gymnasium etc,23,18,Developer fullstack,BashShell all shellsCHTMLCSSJavaScriptPowerShell,PostgreSQLSQLite,Amazon Web Services AWS,AngularASPNET COREReact,Visual StudioVisual Studio Code,WindowsWindows Subsystem for Linux WSL,WindowsWindows Subsystem for Linux WSL,19,Manufacturing
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,19,14,Developer backend,HTMLCSSJavaJavaScriptSQLTypeScript,Cloud FirestoreMySQL,FirebaseGoogle CloudMicrosoft Azure,ExpressjQueryNodejsReactSpring Boot,EclipseNotepadVisual Studio Code,UbuntuWindows,Windows,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,6,2,Developer fullstack,HTMLCSSJavaScriptLuaRubySQLTypeScript,PostgreSQLRedis,Heroku,ReactRemixRuby on Rails,NeovimVisual Studio Code,Ubuntu,Ubuntu,2,Software Development
