modeoflearning,edlevel,yearscode,yearscodepro,devtype,languagehaveworkedwith,databasehaveworkedwith,platformhaveworkedwith,webframehaveworkedwith,newcollabtoolshaveworkedwith,opsyspersonal_use,opsysprofessionaluse,workexpyears,industry
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,50,40,Developer backend,BashShell all shellsDelphiPowerShellSQL,Microsoft SQL ServerMySQL,Unknown,Unknown,VimVisual StudioVisual Studio Code,Windows,Windows,-1,Unknown
Remote,Some collegeuniversity study without earning a degree,10,6,Developer backend,BashShell all shellsCCDelphiGoPythonSQL,MariaDBMicrosoft SQL ServerMongoDBMySQLPostgreSQL,Amazon Web Services AWSCloudflareGoogle CloudMicrosoft AzureOracle Cloud Infrastructure OCI,DjangoFastAPIFlask,Jupyter NotebookJupyterLabNeovimNotepadRad Studio Delphi C BuilderVimVisual StudioVisual Studio Code,iOSUbuntuWindowsWindows Subsystem for Linux WSL,DebianOther LinuxbasedUbuntuWindowsWindows Subsystem for Linux WSL,6,Transportation or Supply Chain
Remote,Masters degree MA MS MEng MBA etc,35,30,Developer fullstack,ElixirHTMLCSSSQL,PostgreSQL,Render,Phoenix,Visual Studio Code,Debian,MacOS,32,Media  Advertising Services
Inperson,Primaryelementary school,15,-1,Developer mobile,CCCJavaKotlinPython,SQLite,FirebaseGoogle Cloud,Unknown,Android StudioCLionEclipseFleetGolandIntelliJ IDEAPyCharmRiderVisual StudioVisual Studio CodeVSCodium,AndroidWindows,AndroidWindows,-1,Unknown
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,35,28,Senior Executive CSuite VP etc,BashShell all shellsCHTMLCSSJavaScriptPowerShellPythonSQL,DynamodbMariaDBMicrosoft SQL ServerMySQLOraclePostgreSQLSQLite,Amazon Web Services AWSDigital OceanLinode now AkamaiMicrosoft Azure,AngularAngularJSASPNETASPNET COREDjangoFlaskjQuery,Jupyter NotebookJupyterLabVisual StudioVisual Studio CodeXcode,MacOS,MacOS,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,10,7,Developer backend,BashShell all shellsHTMLCSSJavaScriptLuaSQLTypeScript,ElasticsearchMongoDBNeo4JRedis,Amazon Web Services AWSGoogle Cloud,ExpressFastifyjQueryNestJSNodejsReact,NanoNotepadVisual Studio Code,AndroidUbuntuWindows,Ubuntu,7,Software Development
Remote,Masters degree MA MS MEng MBA etc,22,17,Developer mobile,DartKotlin,MySQL,Firebase,Unknown,Android StudioVisual Studio Code,Windows,Unknown,17,Software Development
Hybrid some remote some inperson,Some collegeuniversity study without earning a degree,7,5,Developer fullstack,BashShell all shellsCFHTMLCSSJavaJavaScriptPerlPowerShellPythonSQLTypeScriptVBAVisual Basic Net,Microsoft SQL ServerMongoDBOraclePostgreSQLSQLite,Microsoft Azure,AngularAngularJSASPNETASPNET COREBlazorjQueryNodejsReactSvelte,CodeBlocksNetbeansNotepadVimVisual StudioVisual Studio Code,ArchWindowsWindows Subsystem for Linux WSL,ArchWindowsWindows Subsystem for Linux WSL,-1,Unknown
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,14,13,Developer backend,BashShell all shellsGoHTMLCSSJavaScriptPHPRustSQLTypeScript,DynamodbPostgreSQLRedis,Amazon Web Services AWSNetlifyOVH,NodejsReactSymfony,IntelliJ IDEAVisual Studio Code,MacOS,MacOS,-1,Unknown
Remote,Some collegeuniversity study without earning a degree,7,5,Developer frontend,BashShell all shellsHTMLCSSJavaScriptPowerShellSQLTypeScript,PostgreSQLSQLiteSupabase,Microsoft AzureSupabaseVercel,AstroNextjsNodejsReact,Visual Studio CodeWebStorm,AndroidMacOSWindows,MacOSWindows Subsystem for Linux WSL,5,Software Development
Remote,Bachelors degree BA BS BEng etc,30,16,Developer fullstack,CHTMLCSSJavaScriptPythonSQLTypeScript,CassandraPostgreSQL,Microsoft Azure,ExpressjQueryNodejs,NotepadVisual StudioVisual Studio Code,AndroidiOSWindows,UbuntuWindowsWindows Subsystem for Linux WSL,16,Energy
Remote,Secondary school eg American high school German Realschule or Gymnasium etc,2,0,Developer frontend,CHTMLCSSJavaScriptPythonTypeScript,Unknown,Vercel,NextjsStrapiSvelte,Visual Studio Code,Ubuntu,Ubuntu,-1,Unknown
Remote,Masters degree MA MS MEng MBA etc,26,24,Developer fullstack,BashShell all shellsHTMLCSSJavaJavaScript,Oracle,Unknown,jQuery,NetbeansSublime Text,UbuntuOther please specify,UbuntuOther please specify,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,23,14,Security professional,BashShell all shellsErlangGoHTMLCSSJavaJavaScriptPerlPHPPythonRubySQL,PostgreSQLSQLite,Amazon Web Services AWSHerokuOVH,DjangoExpressNodejs,Sublime TextVim,MacOS,MacOS,-1,Unknown
Remote,Associate degree AA AS etc,28,22,Research  Development role,ElixirErlangPHPRustTypeScript,MySQLPostgreSQLRedisSQLite,Amazon Web Services AWSCloudflareFlyioVercel,ExpressLaravelNextjsPhoenixReactVuejs,EmacsVisual Studio Code,MacOSUbuntuWindows,MacOSUbuntu,-1,Unknown
Remote,Masters degree MA MS MEng MBA etc,33,21,Developer backend,BashShell all shellsJavaJavaScriptKotlinSQLTypeScript,MongoDBPostgreSQLRedisSnowflakeSolr,Amazon Web Services AWSOpenShift,ExpressNodejsSpring Boot,Android StudioEclipseIntelliJ IDEAVisual Studio Code,WindowsWindows Subsystem for Linux WSL,MacOSWindows Subsystem for Linux WSL,-1,Unknown
Remote,Masters degree MA MS MEng MBA etc,13,11,Developer backend,KotlinSQLSwift,PostgreSQL,Digital OceanMicrosoft Azure,Astro,IntelliJ IDEAVisual Studio CodeXcode,iOSiPadOSMacOS,iOSiPadOSMacOSOther Linuxbased,11,Software Development
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,8,3,Developer fullstack,BashShell all shellsCDartHTMLCSSJavaScriptSQLTypeScript,Microsoft SQL ServerPostgreSQLSupabase,Microsoft AzureSupabase,ASPNET CORENodejsReact,Visual StudioVisual Studio Code,MacOSWindows,Windows,-1,Unknown
Unknown,Bachelors degree BA BS BEng etc,8,6,Developer fullstack,CSQLTypeScript,Microsoft SQL ServerMySQLPostgreSQLRedisSQLite,Amazon Web Services AWSHeroku,AngularASPNETASPNET COREBlazorDeno,Visual StudioVisual Studio Code,AndroidWindowsWindows Subsystem for Linux WSL,AndroidWindowsWindows Subsystem for Linux WSL,-1,Unknown
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,8,3,Developer fullstack,BashShell all shellsGoGroovyHTMLCSSJavaJavaScriptKotlinPHPPythonRubyRustScalaSQLSwiftTypeScript,CouchbaseDynamodbMongoDBPostgreSQLSQLite,Amazon Web Services AWSColocationFlyioRender,AngularDjangoExpressNodejsReactSpring Boot,Android StudioNanoVisual Studio CodeXcode,iOSUbuntuWindowsWindows Subsystem for Linux WSL,AndroidiOSMacOS,3,BankingFinancial Services
Remote,Primaryelementary school,6,5,Developer fullstack,JavaScriptPythonRustSQLSwiftTypeScript,BigQueryElasticsearchMongoDBMySQLNeo4JPostgreSQLRedisSQLiteSupabase,CloudflareDigital OceanGoogle CloudSupabaseVercel,AstroDjangoFastAPIFastifyFlaskHtmxNestJSNextjsNodejsNuxtjsReactSvelte,HelixSublime TextVimVisual StudioXcode,AndroidMacOS,MacOS,-1,Unknown
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,9,4,Developer fullstack,JavaJavaScriptTypeScript,Cloud FirestoreFirebase Realtime DatabaseMongoDB,Amazon Web Services AWSFirebaseNetlifyVercel,ExpressNextjsNodejsReact,Android StudioVisual Studio CodeXcode,MacOSUbuntuWindows,MacOSUbuntuWindows,4,Software Development
Remote,Bachelors degree BA BS BEng etc,5,3,Developer fullstack,HTMLCSSJavaScriptRubySQL,PostgreSQL,Unknown,Ruby on RailsVuejs,Unknown,Ubuntu,Ubuntu,-1,Unknown
Unknown,Secondary school eg American high school German Realschule or Gymnasium etc,4,0,Student,AssemblyCCDartGoJavaKotlinMATLABOCamlRustSQLSwiftTypeScriptZig,MySQLPostgreSQL,Unknown,Nextjs,CLionVisual StudioVisual Studio CodeWebStorm,MacOSWindows,MacOSWindows,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,17,14,Developer fullstack,CHTMLCSSJavaScriptPowerShellSQL,Microsoft SQL ServerOracle,Microsoft Azure,AngularJSASPNETBlazor,Visual Studio,Windows,Windows,-1,Unknown
Inperson,Bachelors degree BA BS BEng etc,12,5,Developer fullstack,HTMLCSSJavaJavaScriptTypeScript,Unknown,Unknown,React,IntelliJ IDEAVimVisual Studio Code,MacOS,MacOS,5,Media  Advertising Services
Unknown,Primaryelementary school,8,-1,Developer game or graphics,GDScriptHTMLCSSJavaJavaScriptPythonRustTypeScript,Unknown,Unknown,NodejsSvelte,Android StudioIntelliJ IDEAVSCodium,ArchFedora,ArchFedora,-1,Unknown
Inperson,Some collegeuniversity study without earning a degree,10,10,Project manager,CCJava,Microsoft AccessMicrosoft SQL ServerMySQL,Microsoft Azure,ASPNETASPNET CORE,Android Studio,Android,Android,-1,Unknown
Unknown,Primaryelementary school,2,-1,Developer mobile,KotlinSwift,Unknown,Hetzner,Unknown,Xcode,iOSiPadOSMacOS,iOSiPadOSMacOS,-1,Unknown
Remote,Masters degree MA MS MEng MBA etc,4,2,Data engineer,JavaScriptPython,BigQueryCloud FirestoreFirebase Realtime Database,FirebaseGoogle CloudHetznerSupabase,FastAPIReactSvelte,VSCodium,MacOS,MacOS,3,Media  Advertising Services
Remote,Bachelors degree BA BS BEng etc,9,6,Developer backend,BashShell all shellsGoHTMLCSSJavaJavaScriptRustSoliditySQLTypeScript,BigQueryCloud FirestoreCockroachdbDynamodbMicrosoft SQL ServerMongoDBMySQLPostgreSQLRedisSQLiteSupabase,Amazon Web Services AWSCloudflareHerokuNetlifyRenderSupabaseVercel,AngularAngularJSASPNETAstroDenoExpressFastifyGatsbyjQueryNextjsNodejsNuxtjsReactSolidjsVuejs,Android StudioVisual Studio CodeVSCodiumWebStorm,MacOS,MacOS,6,Software Development
Remote,Bachelors degree BA BS BEng etc,6,5,Developer backend,BashShell all shellsCGoGroovyHTMLCSSJavaJavaScriptJuliaKotlinLuaObjectiveCPowerShellPythonRubyRustSoliditySQLSwiftTypeScriptZig,DynamodbPostgreSQLRedisSQLite,Amazon Web Services AWSGoogle Cloud,ReactSpring Boot,IntelliJ IDEAVisual Studio CodeXcode,iOSiPadOSMacOSOther Linuxbased,iOSiPadOSMacOSOther Linuxbased,5,Software Development
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,14,6,Academic researcher,BashShell all shellsGoPythonRust,Unknown,Unknown,Flask,Jupyter NotebookJupyterLabNeovimVimVisual Studio Code,Debian,DebianUbuntu,6,Higher Education
Remote,Bachelors degree BA BS BEng etc,16,10,Developer fullstack,BashShell all shellsPythonSQLTypeScript,PostgreSQL,HerokuRender,DjangoNextjsReact,Visual Studio Code,MacOS,MacOS,-1,Unknown
Unknown,Secondary school eg American high school German Realschule or Gymnasium etc,3,-1,Student,CNimPythonRust,Unknown,VMware,Unknown,FleetIntelliJ IDEAPyCharmVimVisual StudioVisual Studio Code,Windows,Windows Subsystem for Linux WSL,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,9,5,Developer fullstack,BashShell all shellsJavaJavaScriptTypeScript,PostgreSQL,Unknown,ReactSpring Boot,IntelliJ IDEAVisual Studio CodeWebStorm,Windows,DebianWindowsWindows Subsystem for Linux WSL,-1,Unknown
Inperson,Some collegeuniversity study without earning a degree,5,0,Developer backend,BashShell all shellsMicroPythonPythonRust,Unknown,Unknown,Unknown,PyCharmVisual Studio Code,Windows,Other LinuxbasedUbuntuWindows,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,7,3,Developer fullstack,HTMLCSSJavaScriptSQLTypeScript,PostgreSQL,Amazon Web Services AWSMicrosoft Azure,ExpressNodejsReact,Visual Studio Code,AndroidWindows,MacOS,-1,Unknown
Hybrid some remote some inperson,Some collegeuniversity study without earning a degree,12,10,Developer fullstack,HTMLCSSJavaScriptPowerShellPythonRubySQL,PostgreSQL,Amazon Web Services AWSCloudflareHeroku,NuxtjsRuby on RailsVuejs,Visual Studio Code,MacOS,MacOS,10,Software Development
Remote,Secondary school eg American high school German Realschule or Gymnasium etc,4,-1,Developer fullstack,BashShell all shellsHTMLCSSJavaScriptTypeScript,MongoDBSupabase,VercelVMware,ExpressNestJSNextjsNodejsReact,EclipseIntelliJ IDEAVisual StudioVisual Studio Code,AndroidWindows,UbuntuWindows,-1,Unknown
Remote,Masters degree MA MS MEng MBA etc,11,5,Security professional,HTMLCSSJavaScriptPythonSQLTypeScriptVBA,DynamodbMySQLPostgreSQL,Amazon Web Services AWSCloudflareGoogle CloudMicrosoft Azure,FastAPIGatsbyReact,Jupyter NotebookJupyterLabNotepadVisual Studio Code,Windows,Windows,7,Healthcare
Unknown,Primaryelementary school,5,-1,Student,CJavaScriptPythonTypeScript,MariaDBMySQLSQLite,Unknown,ExpressNextjsNodejsReact,NeovimNotepadSublime TextVisual Studio Code,Windows,Windows,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,2,1,Developer frontend,HTMLCSSJavaScriptTypeScript,Firebase Realtime DatabaseMongoDB,Firebase,AngularNextjsNuxtjsReactVuejs,Android StudioVisual StudioVisual Studio Code,AndroidUbuntuWindows,Windows,1,Software Development
Hybrid some remote some inperson,Secondary school eg American high school German Realschule or Gymnasium etc,10,6,Developer fullstack,AssemblyBashShell all shellsDelphiHTMLCSSJavaScriptPHPPowerShellPythonSQL,MariaDBMySQL,VMware,DjangoFlaskHtmxjQueryNodejsWordPress,NanoVisual Studio Code,DebianUbuntu,DebianUbuntuWindows,-1,Unknown
Unknown,Some collegeuniversity study without earning a degree,6,4,Developer fullstack,HTMLCSSJavaJavaScriptTypeScript,MongoDBMySQL,CloudflareFirebaseNetlifyVercel,ExpressNextjsNodejsReactVuejs,CodeBlocksEclipseNetbeansNotepadPyCharmSublime TextVisual Studio Code,AndroidOther LinuxbasedWindows,AndroidOther LinuxbasedWindows,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,15,3,Developer desktop or enterprise applications,CCJavaPython,Unknown,Unknown,Unknown,VimVisual StudioVSCodium,Arch,Windows,3,Software Development
Remote,Bachelors degree BA BS BEng etc,17,13,Developer fullstack,ElixirHTMLCSS,PostgreSQLRedis,Amazon Web Services AWS,Phoenix,VimVisual Studio Code,MacOS,MacOS,13,Other
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,32,25,Developer desktop or enterprise applications,Delphi,Microsoft SQL ServerSQLite,FirebaseMicrosoft Azure,Unknown,NotepadRad Studio Delphi C Builder,Windows,Windows,30,Computer Systems Design and Services
Remote,Secondary school eg American high school German Realschule or Gymnasium etc,5,2,Developer mobile,Kotlin,MariaDBMySQL,HetznerOVH,SvelteVuejs,Android StudioIntelliJ IDEAPyCharmVisual Studio CodeWebStorm,AndroidWindows,AndroidUbuntuWindows,-1,Unknown
Remote,Some collegeuniversity study without earning a degree,5,2,Developer frontend,HTMLCSSJavaScriptPHPTypeScript,Unknown,Unknown,LaravelNodejsNuxtjsSvelteVuejs,Visual Studio Code,MacOSWindows,MacOSWindows,18,Software Development
Remote,Masters degree MA MS MEng MBA etc,8,8,Engineer site reliability,CGoJavaJavaScriptPythonSQLTypeScript,ElasticsearchMongoDBOraclePostgreSQL,Amazon Web Services AWSOpenShift,Spring BootSvelte,Visual StudioVisual Studio Code,Windows,Ubuntu,8,Higher Education
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,21,33,Developer fullstack,HTMLCSSJavaScriptRustSQL,PostgreSQL,Unknown,Unknown,VSCodium,DebianOther Linuxbased,DebianOther Linuxbased,21,Software Development
Unknown,Secondary school eg American high school German Realschule or Gymnasium etc,10,-1,Student,Rust,Unknown,Unknown,NextjsReact,Visual Studio Code,FedoraOther please specify,Unknown,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,41,34,Developer backend,BashShell all shellsElixirErlangHTMLCSSJavaScriptSQL,DynamodbMariaDBMongoDBMySQLPostgreSQL,Amazon Web Services AWSDigital OceanFlyio,PhoenixVuejs,Visual Studio Code,MacOS,MacOS,39,Media  Advertising Services
Remote,Some collegeuniversity study without earning a degree,32,29,Developer fullstack,BashShell all shellsCrystalDartHTMLCSSJavaScriptTypeScript,DynamodbMySQLRedis,Amazon Web Services AWSGoogle Cloud,AngularAngularJSExpressNextjsNodejsReactVuejs,NeovimVimVisual Studio Code,MacOS,MacOS,29,Software Development
Remote,Secondary school eg American high school German Realschule or Gymnasium etc,1,-1,Developer backend,BashShell all shellsCGoHTMLCSS,SQLiteSupabase,Google Cloud,Astro,Visual Studio Code,Windows,UbuntuWindows Subsystem for Linux WSL,-1,Unknown
Remote,Masters degree MA MS MEng MBA etc,15,13,Developer backend,BashShell all shellsElixirHTMLCSSJavaScriptPHPSQL,MySQLPostgreSQL,Amazon Web Services AWSDigital OceanFlyio,Phoenix,VimVisual Studio Code,AndroidFedoraUbuntu,AndroidDebianFedoraMacOSUbuntu,13,Other
Remote,Bachelors degree BA BS BEng etc,29,20,Developer backend,BashShell all shellsCHTMLCSSJavaScriptPHPPythonSQL,MariaDBMySQLRedisSQLite,Digital OceanHetzner,FlaskjQueryNodejsReactWordPress,VimVisual Studio Code,Ubuntu,DebianWindowsOther please specify,20,Software Development
Remote,Bachelors degree BA BS BEng etc,9,5,Other please specify,JavaScriptPythonRustSQL,Cloud FirestorePostgreSQL,Amazon Web Services AWSGoogle Cloud,Flask,Jupyter NotebookJupyterLabSublime TextVisual Studio Code,AndroidMacOSWindows,MacOSUbuntu,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,16,16,Developer fullstack,ElixirHTMLCSSJavaScriptSQL,BigQueryClickhousePostgreSQL,Amazon Web Services AWSDigital OceanFlyioGoogle CloudVMware,PhoenixWordPress,DataGripNanoNeovimSublime TextVisual Studio Code,MacOSUbuntuWindows,MacOSUbuntuWindows,-1,Unknown
Remote,Some collegeuniversity study without earning a degree,32,32,System administrator,BashShell all shellsCCGoJavaJavaScriptPerlPHPPowerShellPythonRustSQL,ElasticsearchMariaDBMicrosoft SQL ServerMySQLPostgreSQLRedisSQLite,Amazon Web Services AWSGoogle CloudMicrosoft Azure,AngularjQueryNodejsSpring BootVuejs,HelixVimVisual Studio Code,AndroidChromeOSUbuntu,AndroidDebianFedoraRed HatUbuntu,32,Computer Systems Design and Services
Hybrid some remote some inperson,Professional degree JD MD PhD EdD etc,2,0,System administrator,CGoHTMLCSSJavaScriptPython,MySQL,PythonAnywhere,Flask,Visual StudioVisual Studio Code,Windows,Windows,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,17,13,Developer fullstack,CHTMLCSSSQLVisual Basic Net,Microsoft SQL ServerOracle,Unknown,ASPNETASPNET COREBlazor,Visual Studio,MacOS,MacOSWindows,13,Manufacturing
Unknown,Bachelors degree BA BS BEng etc,19,9,Developer mobile,Kotlin,Unknown,Unknown,Unknown,Android Studio,AndroidUbuntuWindows,AndroidUbuntu,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,16,13,Developer fullstack,BashShell all shellsHTMLCSSJavaJavaScriptSQLTypeScript,OracleSQLite,OpenShift,AngularNestJSNodejsSpring Boot,IntelliJ IDEAVisual Studio CodeXcode,iOSiPadOSMacOS,Red HatWindows,13,Government
Remote,Associate degree AA AS etc,15,15,Senior Executive CSuite VP etc,CCDartHTMLCSSJavaJavaScriptPHPRubyRustTypeScript,ElasticsearchMongoDBMySQLPostgreSQLRedis,Amazon Web Services AWSCloudflareHerokuMicrosoft AzureOracle Cloud Infrastructure OCI,DjangoExpressjQueryLaravelNodejsNuxtjsReactRuby on RailsSpring BootVuejsWordPress,PhpStormVisual Studio Code,UbuntuWindowsWindows Subsystem for Linux WSL,UbuntuWindowsWindows Subsystem for Linux WSL,15,Software Development
Inperson,Masters degree MA MS MEng MBA etc,25,15,Developer fullstack,BashShell all shellsHTMLCSSMicroPythonPythonSQL,ElasticsearchInfluxDBPostgreSQLRedisSQLite,Amazon Web Services AWSCloudflareVMware,FastAPIFlask,IPythonJupyter NotebookJupyterLabNotepadPyCharmVimVisual Studio Code,iOSUbuntuWindows,UbuntuWindows,-1,Unknown
Hybrid some remote some inperson,Professional degree JD MD PhD EdD etc,20,12,System administrator,BashShell all shellsLispPython,Unknown,Unknown,Flask,Emacs,MacOSUbuntu,Red HatWindowsWindows Subsystem for Linux WSL,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,33,29,Engineering manager,ElixirErlangHTMLCSSJavaScriptPythonSQL,PostgreSQL,Amazon Web Services AWSHetzner,Phoenix,Neovim,MacOS,Debian,32,Computer Systems Design and Services
Remote,Masters degree MA MS MEng MBA etc,15,15,Developer fullstack,BashShell all shellsElixirGoHaskellHTMLCSSJavaScriptPHPPythonSQLTypeScriptZig,MariaDBMicrosoft SQL ServerMongoDBMySQLPostgreSQLRedisSQLite,Amazon Web Services AWSDigital OceanMicrosoft AzureVercel,DjangoNextjsNodejsPhoenixReact,BBEditJupyter NotebookJupyterLabNeovimVimVisual Studio CodeXcode,iPadOSMacOSUbuntu,Ubuntu,20,Media  Advertising Services
Remote,Bachelors degree BA BS BEng etc,7,6,Developer backend,JavaJavaScriptKotlinSQL,H2MongoDBMySQL,Amazon Web Services AWSGoogle Cloud,ReactSpring Boot,IntelliJ IDEASublime TextVimVisual Studio Code,MacOS,MacOS,-1,Unknown
Remote,Some collegeuniversity study without earning a degree,4,2,Developer fullstack,HTMLCSSJavaScriptPowerShellPythonTypeScript,MongoDBPostgreSQLSQLite,Amazon Web Services AWS,ExpressNodejsReact,Jupyter NotebookJupyterLabVisual Studio Code,iOSWindows Subsystem for Linux WSL,Unknown,-1,Unknown
Inperson,Bachelors degree BA BS BEng etc,7,7,Engineering manager,HTMLCSSJavaScriptPowerShell,Microsoft SQL ServerMongoDBMySQL,Digital Ocean,ExpressNextjsNodejsReact,Visual Studio Code,MacOS,MacOSWindows,19,Retail and Consumer Services
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,15,12,Developer mobile,JavaKotlinSQL,SQLite,Unknown,Unknown,Android StudioIntelliJ IDEANotepad,AndroidWindows,AndroidWindows,-1,Unknown
Remote,Masters degree MA MS MEng MBA etc,38,22,Developer fullstack,CCHTMLCSSJavaScriptTypeScript,ElasticsearchMongoDBMySQLPostgreSQLSQLite,Amazon Web Services AWSCloudflareDigital OceanLinode now Akamai,AngularAngularJSDenoNestJSNodejs,Android StudioSublime TextVimVisual Studio Code,Ubuntu,Ubuntu,-1,Unknown
Hybrid some remote some inperson,Professional degree JD MD PhD EdD etc,28,-1,Cloud infrastructure engineer,BashShell all shellsCGoRust,Unknown,Microsoft Azure,Unknown,Android StudioVimVisual Studio Code,MacOSUbuntuWindows Subsystem for Linux WSL,MacOSUbuntuWindows Subsystem for Linux WSL,11,BankingFinancial Services
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,10,5,Developer backend,BashShell all shellsJavaSQL,MariaDBMySQL,Unknown,Unknown,DataGripIntelliJ IDEA,MacOSWindows,MacOS,5,Internet Telecomm or Information Services
Remote,Some collegeuniversity study without earning a degree,10,6,Developer fullstack,CHTMLCSSJavaScriptPowerShellPythonSQLTypeScript,Cosmos DBMicrosoft SQL Server,CloudflareMicrosoft Azure,ASPNET COREjQueryNodejs,RiderVisual StudioVisual Studio Code,Other LinuxbasedWindowsWindows Subsystem for Linux WSLOther please specify,WindowsWindows Subsystem for Linux WSL,6,Software Development
Hybrid some remote some inperson,Something else,18,12,Senior Executive CSuite VP etc,BashShell all shellsCElixirErlangGoHTMLCSSJavaScriptPHPPythonRustSQLTypeScriptZig,ElasticsearchMariaDBMongoDBMySQLPostgreSQLRedisSQLiteSupabase,Amazon Web Services AWSFlyioGoogle CloudMicrosoft AzureSupabase,ExpressNodejsPhoenixReactVuejs,Visual Studio Code,iOSUbuntu,DebianUbuntu,18,Insurance
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,14,10,Developer fullstack,ElixirErlangHTMLCSSJavaScriptKotlinSQLTypeScript,BigQueryElasticsearchPostgreSQL,FlyioGoogle Cloud,ElmPhoenixReactSvelte,Sublime TextVisual Studio Code,MacOS,MacOS,15,Software Development
Remote,Some collegeuniversity study without earning a degree,17,10,Developer game or graphics,HTMLCSSJavaJavaScriptPython,Unknown,CloudflareDigital OceanHetznerVercel,FastAPI,EclipseNotepadVisual Studio Code,Windows,Windows,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,27,27,Developer fullstack,ElixirErlangJavaScript,OraclePostgreSQL,Amazon Web Services AWSFlyio,PhoenixReact,Visual Studio Code,MacOS,DebianMacOS,27,Retail and Consumer Services
Unknown,Bachelors degree BA BS BEng etc,13,-1,Other please specify,BashShell all shellsCLuaPerlRuby,Unknown,Unknown,Unknown,KateNeovimVim,Other LinuxbasedOther please specify,Unknown,-1,Unknown
Remote,Masters degree MA MS MEng MBA etc,15,11,Developer backend,BashShell all shellsGoPythonSQL,ClickhousePostgreSQLRedis,Amazon Web Services AWSCloudflareMicrosoft AzureVMware,Unknown,NeovimNotepadVimVisual Studio Code,MacOSUbuntuWindows Subsystem for Linux WSL,DebianUbuntu,-1,Unknown
Unknown,Some collegeuniversity study without earning a degree,24,14,Developer frontend,BashShell all shellsCHTMLCSSJavaScriptPythonTypeScript,PostgreSQLSQLite,Amazon Web Services AWSCloudflareDigital OceanVercel,DjangoNextjsNodejsReactSolidjs,VimVisual Studio Code,Arch,Ubuntu,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,14,10,Developer fullstack,DartElixirErlangHTMLCSSJavaScriptPHPRubySQLTypeScript,DynamodbInfluxDBPostgreSQLRedis,Amazon Web Services AWSDigital OceanFlyioHetznerMicrosoft Azure,LaravelPhoenixReactVuejsWordPress,Android StudioVisual Studio Code,MacOS,MacOS,10,Software Development
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,13,10,Developer fullstack,JavaScriptTypeScript,Cloud FirestorePostgreSQL,FirebaseGoogle CloudOracle Cloud Infrastructure OCIRender,ExpressNextjsNodejsReactRemix,NanoSublime TextVisual Studio Code,iOSUbuntuWindowsWindows Subsystem for Linux WSL,MacOS,7,Fintech
Inperson,Bachelors degree BA BS BEng etc,9,4,Developer fullstack,BashShell all shellsCCCDartHTMLCSSJavaScriptLuaSQLTypeScript,Microsoft SQL ServerMySQLSQLite,CloudflareDigital OceanGoogle CloudMicrosoft AzureVercel,ASPNETASPNET COREjQueryReactSvelte,Jupyter NotebookJupyterLabVisual StudioVisual Studio Code,WindowsWindows Subsystem for Linux WSL,Other LinuxbasedRed HatWindowsWindows Subsystem for Linux WSL,4,Healthcare
Remote,Some collegeuniversity study without earning a degree,30,25,Other please specify,BashShell all shellsHTMLCSSJavaScriptPythonRustSQLTypeScript,PostgreSQL,Amazon Web Services AWSDigital OceanNetlify,FastAPINodejs,EmacsJupyter NotebookJupyterLabVisual Studio Code,Ubuntu,Ubuntu,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,7,2,Cloud infrastructure engineer,BashShell all shellsCJavaJuliaMATLABPythonR,Unknown,Unknown,Unknown,Android StudioEclipseIntelliJ IDEAJupyter NotebookJupyterLabNotepadVimVisual StudioVisual Studio Code,Other Linuxbased,Windows,-1,Unknown
Hybrid some remote some inperson,Some collegeuniversity study without earning a degree,35,-1,Other please specify,Go,Unknown,Unknown,Unknown,GeanyVimVSCodium,Other Linuxbased,Windows,-1,Unknown
